Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,Match Date,Scorecard
A Zampa,10.0,-,53,4,5.3,Australia,v Pakistan,Bengaluru,20 Oct 2023,ODI # 4675
CR Woakes,9.3,-,54,4,5.68,England,v Australia,Ahmedabad,04 Nov 2023,ODI # 4693
T Shamsi,10.0,-,60,4,6.0,South Africa,v Pakistan,Chennai,27 Oct 2023,ODI # 4683
BFW de Leede,9.0,-,62,4,6.88,Netherlands,v Pakistan,Hyderabad,06 Oct 2023,ODI # 4659
Mahedi Hasan,8.0,-,71,4,8.87,Bangladesh,v England,Dharamsala,10 Oct 2023,ODI # 4664
Hasan Ali,10.0,-,71,4,7.1,Pakistan,v Sri Lanka,Hyderabad,10 Oct 2023,ODI # 4665
LV van Beek,10.0,-,74,4,7.4,Netherlands,v Australia,Delhi,25 Oct 2023,ODI # 4681
Mohammed Siraj,7.0,2,16,3,2.28,India,v Sri Lanka,Wankhede,02 Nov 2023,ODI # 4690
LH Ferguson,7.0,1,19,3,2.71,New Zealand,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
A Zampa,10.0,-,21,3,2.1,Australia,v England,Ahmedabad,04 Nov 2023,ODI # 4693
Shaheen Shah Afridi,9.0,1,23,3,2.55,Pakistan,v Bangladesh,Eden Gardens,31 Oct 2023,ODI # 4688
Mehidy Hasan Miraz,9.0,3,25,3,2.77,Bangladesh,v Afghanistan,Dharamsala,07 Oct 2023,ODI # 4660
RA Jadeja,10.0,2,28,3,2.8,India,v Australia,Chennai,08 Oct 2023,ODI # 4662
Mohammad Nabi,9.3,1,28,3,2.94,Afghanistan,v Netherlands,Lucknow,03 Nov 2023,ODI # 4691
Shakib Al Hasan,8.0,-,30,3,3.75,Bangladesh,v Afghanistan,Dharamsala,07 Oct 2023,ODI # 4660
Mohammad Wasim,8.1,1,31,3,3.79,Pakistan,v Bangladesh,Eden Gardens,31 Oct 2023,ODI # 4688
M Jansen,8.0,1,31,3,3.87,South Africa,v New Zealand,Pune,01 Nov 2023,ODI # 4689
JJ Bumrah,6.5,1,32,3,4.68,India,v England,Lucknow,29 Oct 2023,ODI # 4686
K Rabada,8.0,1,33,3,4.12,South Africa,v Australia,Lucknow,12 Oct 2023,ODI # 4667
MA Starc,10.0,1,34,3,3.4,Australia,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
G Coetzee,4.0,-,35,3,8.75,South Africa,v England,Wankhede,21 Oct 2023,ODI # 4677
CBRLS Kumara,7.0,-,35,3,5.0,Sri Lanka,v England,Bengaluru,26 Oct 2023,ODI # 4682
Rashid Khan,9.3,1,37,3,3.89,Afghanistan,v England,Delhi,15 Oct 2023,ODI # 4670
GD Phillips,10.0,-,37,3,3.7,New Zealand,v Australia,Dharamsala,28 Oct 2023,ODI # 4684
TA Boult,10.0,3,37,3,3.7,New Zealand,v Sri Lanka,Bengaluru,09 Nov 2023,ODI # 4698
JR Hazlewood,9.0,1,38,3,4.22,Australia,v India,Chennai,08 Oct 2023,ODI # 4662
D Madushanka,9.0,2,38,3,4.22,Sri Lanka,v Australia,Lucknow,16 Oct 2023,ODI # 4671
MJ Santner,7.4,-,39,3,5.08,New Zealand,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
MJ Henry,8.3,-,40,3,4.7,New Zealand,v Netherlands,Hyderabad,09 Oct 2023,ODI # 4663
AU Rashid,10.0,1,42,3,4.2,England,v Afghanistan,Delhi,15 Oct 2023,ODI # 4670
MM Ali,8.2,-,42,3,5.04,England,v Netherlands,Pune,08 Nov 2023,ODI # 4697
Haris Rauf,9.0,-,43,3,4.77,Pakistan,v Netherlands,Hyderabad,06 Oct 2023,ODI # 4659
M Jansen,9.0,1,43,3,4.77,South Africa,v Pakistan,Chennai,27 Oct 2023,ODI # 4683
A Dutt,10.0,-,44,3,4.4,Netherlands,v Sri Lanka,Lucknow,21 Oct 2023,ODI # 4676
Shaheen Shah Afridi,10.0,-,45,3,4.5,Pakistan,v South Africa,Chennai,27 Oct 2023,ODI # 4683
DJ Willey,10.0,2,45,3,4.5,England,v India,Lucknow,29 Oct 2023,ODI # 4686
MJ Henry,10.0,1,48,3,4.8,New Zealand,v England,Ahmedabad,05 Oct 2023,ODI # 4658
LH Ferguson,10.0,-,49,3,4.9,New Zealand,v Bangladesh,Chennai,13 Oct 2023,ODI # 4668
Noor Ahmad,10.0,-,49,3,4.9,Afghanistan,v Pakistan,Chennai,23 Oct 2023,ODI # 4679
Mujeeb Ur Rahman,10.0,1,51,3,5.1,Afghanistan,v England,Delhi,15 Oct 2023,ODI # 4670
PJ Cummins,9.4,-,51,3,5.27,Australia,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
AU Rashid,8.0,-,54,3,6.75,England,v Netherlands,Pune,08 Nov 2023,ODI # 4697
MA Starc,10.0,-,55,3,5.5,Australia,v India,Ahmedabad,19 Nov 2023,ODI # 4705
DJ Willey,10.0,-,56,3,5.6,England,v Pakistan,Eden Gardens,11 Nov 2023,ODI # 4701
LV van Beek,8.5,-,60,3,6.79,Netherlands,v South Africa,Dharamsala,17 Oct 2023,ODI # 4672
Mehidy Hasan Miraz,9.0,-,60,3,6.66,Bangladesh,v Pakistan,Eden Gardens,31 Oct 2023,ODI # 4688
Mohammad Wasim,10.0,-,60,3,6.0,Pakistan,v New Zealand,Bengaluru,04 Nov 2023,ODI # 4692
G Coetzee,10.0,-,62,3,6.2,South Africa,v Bangladesh,Wankhede,24 Oct 2023,ODI # 4680
Haris Rauf,10.0,-,64,3,6.4,Pakistan,v England,Eden Gardens,11 Nov 2023,ODI # 4701
G Coetzee,9.0,-,68,3,7.55,South Africa,v Sri Lanka,Delhi,07 Oct 2023,ODI # 4661
D Madushanka,10.0,1,69,3,6.9,Sri Lanka,v Bangladesh,Delhi,06 Nov 2023,ODI # 4695
A Zampa,10.0,-,74,3,7.4,Australia,v New Zealand,Dharamsala,28 Oct 2023,ODI # 4684
BFW de Leede,10.0,-,74,3,7.4,Netherlands,v England,Pune,08 Nov 2023,ODI # 4697
Shoriful Islam,10.0,-,75,3,7.5,Bangladesh,v England,Dharamsala,10 Oct 2023,ODI # 4664
TA Boult,10.0,-,77,3,7.7,New Zealand,v Australia,Dharamsala,28 Oct 2023,ODI # 4684
Tanzim Hasan Sakib,10.0,-,80,3,8.0,Bangladesh,v Sri Lanka,Delhi,06 Nov 2023,ODI # 4695
Haris Rauf,8.0,-,83,3,10.37,Pakistan,v Australia,Bengaluru,20 Oct 2023,ODI # 4675
RJW Topley,8.5,-,88,3,9.96,England,v South Africa,Wankhede,21 Oct 2023,ODI # 4677
TG Southee,10.0,-,100,3,10.0,New Zealand,v India,Wankhede,15 Nov 2023,ODI # 4703
Kuldeep Yadav,5.1,1,7,2,1.35,India,v South Africa,Eden Gardens,05 Nov 2023,ODI # 4694
JR Hazlewood,8.0,3,12,2,1.5,Australia,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
AD Mathews,5.0,1,14,2,2.8,Sri Lanka,v England,Bengaluru,26 Oct 2023,ODI # 4682
Mohammad Nabi,6.0,-,16,2,2.66,Afghanistan,v England,Delhi,15 Oct 2023,ODI # 4670
GD Phillips,3.0,-,17,2,5.66,New Zealand,v England,Ahmedabad,05 Oct 2023,ODI # 4658
TA Boult,7.0,1,18,2,2.57,New Zealand,v Afghanistan,Chennai,18 Oct 2023,ODI # 4673
Mohammed Shami,4.0,-,18,2,4.5,India,v South Africa,Eden Gardens,05 Nov 2023,ODI # 4694
JJ Bumrah,7.0,1,19,2,2.71,India,v Pakistan,Ahmedabad,14 Oct 2023,ODI # 4669
MR Marsh,4.0,-,19,2,4.75,Australia,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
DJ Willey,7.0,2,19,2,2.71,England,v Netherlands,Pune,08 Nov 2023,ODI # 4697
R Ravindra,7.4,-,21,2,2.73,New Zealand,v Sri Lanka,Bengaluru,09 Nov 2023,ODI # 4698
TM Head,5.0,-,21,2,4.2,Australia,v South Africa,Eden Gardens,16 Nov 2023,ODI # 4704
MJ Santner,10.0,2,22,2,2.2,New Zealand,v Sri Lanka,Bengaluru,09 Nov 2023,ODI # 4698
Kuldeep Yadav,8.0,-,24,2,3.0,India,v England,Lucknow,29 Oct 2023,ODI # 4686
BFW de Leede,7.0,-,25,2,3.57,Netherlands,v Bangladesh,Eden Gardens,28 Oct 2023,ODI # 4685
KA Maharaj,10.0,1,25,2,2.5,South Africa,v Afghanistan,Ahmedabad,10 Nov 2023,ODI # 4699
L Ngidi,5.0,1,26,2,5.2,South Africa,v England,Wankhede,21 Oct 2023,ODI # 4677
M Jansen,8.0,1,27,2,3.37,South Africa,v Netherlands,Dharamsala,17 Oct 2023,ODI # 4672
AD Mathews,4.0,-,29,2,7.25,Sri Lanka,v New Zealand,Bengaluru,09 Nov 2023,ODI # 4698
Mohammed Siraj,6.0,1,29,2,4.83,India,v Netherlands,Bengaluru,12 Nov 2023,ODI # 4702
KA Maharaj,10.0,-,30,2,3.0,South Africa,v Australia,Lucknow,12 Oct 2023,ODI # 4667
DJ Willey,5.0,-,30,2,6.0,England,v Sri Lanka,Bengaluru,26 Oct 2023,ODI # 4682
Noor Ahmad,9.0,-,31,2,3.44,Afghanistan,v Netherlands,Lucknow,03 Nov 2023,ODI # 4691
