Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
M Labuschagne (AUS),2023-2023,11,10,1,362,71,40.22,512,70.7,-,3,-,31,2
SPD Smith (AUS),2023-2023,10,10,1,302,71,33.55,373,80.96,-,2,1,30,2
Agha Salman (PAK),2023-2023,3,1,0,51,51,51.00,45,113.33,-,1,-,6,1
HH Pandya (IND),2023-2023,4,1,1,11,11*,-,8,137.5,-,-,-,0,1
LH Ferguson (NZ),2023-2023,7,3,1,7,6,3.50,9,77.77,-,-,-,0,1
W Barresi (NED),2023-2023,4,4,0,83,41,20.75,112,74.1,-,-,-,11,1
TA Boult (NZ),2023-2023,10,4,3,21,10*,21.00,25,84.0,-,-,-,1,1
G Coetzee (SA),2023-2023,8,4,0,54,22,13.50,78,69.23,-,-,-,4,1
MJ Henry (NZ),2023-2023,7,4,2,19,10*,9.50,22,86.36,-,-,1,1,1
AD Mathews (SL),2023-2023,5,4,0,51,23,12.75,78,65.38,-,-,1,4,1
CAK Rajitha (SL),2023-2023,6,4,0,52,33,13.00,57,91.22,-,-,1,6,1
MM Ali (ENG),2023-2023,6,6,0,95,42,15.83,127,74.8,-,-,-,8,1
MS Chapman (NZ),2023-2023,8,6,1,84,39,16.80,71,118.3,-,-,-,10,1
KA Maharaj (SA),2023-2023,10,6,3,59,40,19.66,80,73.75,-,-,-,7,1
Mohammad Nabi (AFG),2023-2023,9,6,0,55,19,9.16,76,72.36,-,-,-,3,1
Mustafizur Rahman (BAN),2023-2023,8,6,2,42,20,10.50,89,47.19,-,-,-,4,1
Shaheen Shah Afridi (PAK),2023-2023,9,6,3,55,25,18.33,60,91.66,-,-,-,7,1
