Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
BA Stokes (ENG),2023-2023,6,6,0,304,108,50.66,341,89.14,1,2,1,26,11
SPD Smith (AUS),2023-2023,10,10,1,302,71,33.55,373,80.96,-,2,1,30,2
SA Engelbrecht (NED),2023-2023,8,8,0,300,70,37.50,450,66.66,-,2,-,25,3
BKG Mendis (SL),2023-2023,9,9,0,294,122,32.66,258,113.95,1,1,-,27,15
KIC Asalanka (SL),2023-2023,9,8,0,288,108,36.00,338,85.2,1,1,-,19,11
GD Phillips (NZ),2023-2023,10,9,2,285,71,40.71,255,111.76,-,2,-,22,14
Litton Das (BAN),2023-2023,9,9,0,284,76,31.55,354,80.22,-,2,1,32,5
Rahmanullah Gurbaz (AFG),2023-2023,9,9,0,280,80,31.11,283,98.93,-,2,1,31,9
JE Root (ENG),2023-2023,9,9,0,276,82,30.66,312,88.46,-,3,1,21,2
SA Edwards (NED),2023-2023,9,9,2,259,78*,37.00,298,86.91,-,2,2,22,3
KS Williamson (NZ),2023-2023,4,4,1,256,95,85.33,274,93.43,-,3,-,28,4
Saud Shakeel (PAK),2023-2023,9,7,0,241,68,34.42,246,97.96,-,2,-,30,1
Najmul Hossain Shanto (BAN),2023-2023,9,9,1,222,90,27.75,289,76.81,-,2,2,25,1
Fakhar Zaman (PAK),2023-2023,4,4,1,220,126*,73.33,179,122.9,1,1,-,14,18
CN Ackermann (NED),2023-2023,9,9,0,216,69,24.00,263,82.12,-,1,1,27,0
JM Bairstow (ENG),2023-2023,9,9,0,215,59,23.88,243,88.47,-,2,1,27,3
WA Young (NZ),2023-2023,6,6,0,206,70,34.33,246,83.73,-,2,1,23,6
Mushfiqur Rahim (BAN),2023-2023,9,9,1,202,66,25.25,255,79.21,-,2,-,14,4
Mehidy Hasan Miraz (BAN),2023-2023,9,9,0,201,57,22.33,253,79.44,-,1,-,21,2
Shakib Al Hasan (BAN),2023-2023,7,7,0,186,82,26.57,226,82.3,-,1,-,21,4
HC Brook (ENG),2023-2023,6,6,0,169,66,28.16,150,112.66,-,1,-,20,5
Towhid Hridoy (BAN),2023-2023,7,6,1,164,74,32.80,210,78.09,-,1,-,7,5
AT Nidamanuru (NED),2023-2023,7,7,1,164,54,27.33,167,98.2,-,1,-,11,10
Imam-ul-Haq (PAK),2023-2023,6,6,0,162,70,27.00,180,90.0,-,1,-,23,0
JP Inglis (AUS),2023-2023,10,8,0,159,58,19.87,168,94.64,-,1,1,17,3
M Jansen (SA),2023-2023,9,8,3,157,75*,31.40,142,110.56,-,1,1,9,9
TWM Latham (NZ),2023-2023,10,8,2,155,68,25.83,170,91.17,-,2,1,12,3
MDKJ Perera (SL),2023-2023,7,7,0,149,78,21.28,147,101.36,-,2,1,25,2
T Bavuma (SA),2023-2023,8,8,0,145,35,18.12,197,73.6,-,-,1,18,3
Tanzid Hasan (BAN),2023-2023,9,9,0,145,51,16.11,152,95.39,-,1,1,22,3
Iftikhar Ahmed (PAK),2023-2023,9,8,2,142,40,23.66,123,115.44,-,-,-,11,8
DM de Silva (SL),2023-2023,8,7,0,140,34,20.00,184,76.08,-,-,-,13,4
LV van Beek (NED),2023-2023,8,8,2,140,59,23.33,179,78.21,-,1,1,9,3
BFW de Leede (NED),2023-2023,9,9,0,139,67,15.44,199,69.84,-,1,-,15,2
JC Buttler (ENG),2023-2023,9,9,0,138,43,15.33,142,97.18,-,-,-,11,5
MP O'Dowd (NED),2023-2023,9,9,0,138,42,15.33,200,69.0,-,-,1,22,2
CR Woakes (ENG),2023-2023,8,8,1,131,51,18.71,155,84.51,-,1,1,15,2
PJ Cummins (AUS),2023-2023,11,8,4,128,37,32.00,186,68.81,-,-,-,13,5
Shadab Khan (PAK),2023-2023,6,5,0,121,43,24.20,120,100.83,-,-,-,7,4
RA Jadeja (IND),2023-2023,11,5,2,120,39*,40.00,118,101.69,-,-,-,7,3
SA Yadav (IND),2023-2023,7,7,1,106,49,17.66,105,100.95,-,-,-,12,1
Rashid Khan (AFG),2023-2023,9,6,1,105,35*,21.00,111,94.59,-,-,-,7,5
MJ Santner (NZ),2023-2023,10,7,3,103,36*,25.75,81,127.16,-,-,-,6,5
M Theekshana (SL),2023-2023,8,6,2,100,38*,25.00,185,54.05,-,-,2,11,1
Vikramjit Singh (NED),2023-2023,6,6,0,98,52,16.33,150,65.33,-,1,-,12,1
RR Hendricks (SA),2023-2023,2,2,0,97,85,48.50,94,103.19,-,1,-,10,3
MM Ali (ENG),2023-2023,6,6,0,95,42,15.83,127,74.8,-,-,-,8,1
AU Rashid (ENG),2023-2023,9,9,3,92,20,15.33,91,101.09,-,-,-,7,2
Ikram Alikhil (AFG),2023-2023,7,3,1,89,58,44.50,101,88.11,-,1,-,7,3
MP Stoinis (AUS),2023-2023,6,5,1,87,35,21.75,77,112.98,-,-,-,8,4
MA Starc (AUS),2023-2023,10,8,1,87,28,12.42,151,57.61,-,-,1,7,1
MA Wood (ENG),2023-2023,7,7,4,85,43*,28.33,65,130.76,-,-,1,7,5
MS Chapman (NZ),2023-2023,8,6,1,84,39,16.80,71,118.3,-,-,-,10,1
W Barresi (NED),2023-2023,4,4,0,83,41,20.75,112,74.1,-,-,-,11,1
Mohammad Nawaz (PAK),2023-2023,5,4,0,81,39,20.25,97,83.5,-,-,-,5,3
MD Shanaka (SL),2023-2023,2,2,0,80,68,40.00,80,100.0,-,1,-,6,3
DJ Willey (ENG),2023-2023,6,6,2,78,16*,19.50,67,116.41,-,-,-,7,6
A Dutt (NED),2023-2023,9,9,3,70,23*,11.66,87,80.45,-,-,-,1,5
RE van der Merwe (NED),2023-2023,8,8,0,68,29,8.50,85,80.0,-,-,2,4,3
C Green (AUS),2023-2023,3,3,0,63,47,21.00,83,75.9,-,-,-,6,0
LS Livingstone (ENG),2023-2023,6,6,0,60,27,10.00,94,63.82,-,-,1,6,0
KA Maharaj (SA),2023-2023,10,6,3,59,40,19.66,80,73.75,-,-,-,7,1
JDS Neesham (NZ),2023-2023,3,2,0,58,58,29.00,47,123.4,-,1,1,3,3
Mohammad Nabi (AFG),2023-2023,9,6,0,55,19,9.16,76,72.36,-,-,-,3,1
Shaheen Shah Afridi (PAK),2023-2023,9,6,3,55,25,18.33,60,91.66,-,-,-,7,1
G Coetzee (SA),2023-2023,8,4,0,54,22,13.50,78,69.23,-,-,-,4,1
Haris Rauf (PAK),2023-2023,9,5,2,53,35,17.66,45,117.77,-,-,-,5,4
CAK Rajitha (SL),2023-2023,6,4,0,52,33,13.00,57,91.22,-,-,1,6,1
Agha Salman (PAK),2023-2023,3,1,0,51,51,51.00,45,113.33,-,1,-,6,1
AD Mathews (SL),2023-2023,5,4,0,51,23,12.75,78,65.38,-,-,1,4,1
Mujeeb Ur Rahman (AFG),2023-2023,9,5,1,51,28,12.75,40,127.5,-,-,-,6,2
Taskin Ahmed (BAN),2023-2023,7,5,1,49,17,12.25,93,52.68,-,-,-,1,3
A Zampa (AUS),2023-2023,11,6,3,48,29,16.00,60,80.0,-,-,1,5,0
Ishan Kishan (IND),2023-2023,2,2,0,47,47,23.50,48,97.91,-,-,1,5,2
Mustafizur Rahman (BAN),2023-2023,8,6,2,42,20,10.50,89,47.19,-,-,-,4,1
Nasum Ahmed (BAN),2023-2023,3,3,0,40,19,13.33,48,83.33,-,-,-,5,0
AL Phehlukwayo (SA),2023-2023,1,1,1,39,39*,-,37,105.4,-,-,-,1,3
AAP Atkinson (ENG),2023-2023,3,3,1,37,35,18.50,23,160.86,-,-,1,7,0
SM Curran (ENG),2023-2023,3,3,0,35,14,11.66,57,61.4,-,-,-,1,0
Mahedi Hasan (BAN),2023-2023,3,3,1,33,17,16.50,73,45.2,-,-,-,2,0
D Madushanka (SL),2023-2023,9,6,4,28,19,14.00,67,41.79,-,-,-,4,0
Shoriful Islam (BAN),2023-2023,8,6,5,28,12,28.00,28,100.0,-,-,-,3,1
Noor Ahmad (AFG),2023-2023,4,1,0,26,26,26.00,32,81.25,-,-,-,4,0
PA van Meekeren (NED),2023-2023,9,8,2,26,7,4.33,54,48.14,-,-,2,3,0
K Rabada (SA),2023-2023,9,4,1,25,10,8.33,45,55.55,-,-,-,0,2
Mohammad Wasim (PAK),2023-2023,4,2,1,23,16*,23.00,23,100.0,-,-,-,2,2
TA Boult (NZ),2023-2023,10,4,3,21,10*,21.00,25,84.0,-,-,-,1,1
Hasan Ali (PAK),2023-2023,6,3,0,20,12,6.66,28,71.42,-,-,1,4,0
Kuldeep Yadav (IND),2023-2023,11,2,1,19,10,19.00,31,61.29,-,-,-,1,0
MJ Henry (NZ),2023-2023,7,4,2,19,10*,9.50,22,86.36,-,-,1,1,1
JJ Bumrah (IND),2023-2023,11,3,1,18,16,9.00,29,62.06,-,-,-,1,0
TG Southee (NZ),2023-2023,4,2,0,16,9,8.00,21,76.19,-,-,-,2,0
RJW Topley (ENG),2023-2023,3,2,2,16,15*,-,9,177.77,-,-,-,3,0
Naveen-ul-Haq (AFG),2023-2023,8,5,1,16,9*,4.00,25,64.0,-,-,2,2,0
Hasan Mahmud (BAN),2023-2023,2,1,0,15,15,15.00,25,60.0,-,-,-,2,0
FDM Karunaratne (SL),2023-2023,2,2,0,15,15,7.50,22,68.18,-,-,1,1,0
Saqib Zulfiqar (NED),2023-2023,2,2,0,13,10,6.50,33,39.39,-,-,-,1,0
DN Wellalage (SL),2023-2023,3,3,0,12,10,4.00,18,66.66,-,-,1,1,0
HH Pandya (IND),2023-2023,4,1,1,11,11*,-,8,137.5,-,-,-,0,1
L Ngidi (SA),2023-2023,8,3,1,11,7*,5.50,41,26.82,-,-,1,0,0
Mohammed Shami (IND),2023-2023,7,4,1,10,6,3.33,20,50.0,-,-,-,1,0
Mohammed Siraj (IND),2023-2023,11,1,1,9,9*,-,8,112.5,-,-,-,1,0
T Shamsi (SA),2023-2023,4,3,3,9,4*,-,15,60.0,-,-,-,1,0
R Klein (NED),2023-2023,1,1,0,8,8,8.00,15,53.33,-,-,-,0,0
C Karunaratne (SL),2023-2023,3,2,0,8,6,4.00,28,28.57,-,-,-,1,0
Najibullah Zadran (AFG),2023-2023,2,2,0,7,5,3.50,21,33.33,-,-,-,0,0
LH Ferguson (NZ),2023-2023,7,3,1,7,6,3.50,9,77.77,-,-,-,0,1
Shariz Ahmad (NED),2023-2023,1,1,0,6,6,6.00,8,75.0,-,-,-,0,0
M Pathirana (SL),2023-2023,2,2,1,6,5,6.00,19,31.57,-,-,-,1,0
PVD Chameera (SL),2023-2023,4,4,0,6,4,1.50,39,15.38,-,-,1,0,0
Tanzim Hasan Sakib (BAN),2023-2023,1,1,1,5,5*,-,6,83.33,-,-,-,1,0
CBRLS Kumara (SL),2023-2023,2,1,0,4,4,4.00,8,50.0,-,-,-,1,0
MADI Hemantha (SL),2023-2023,2,2,1,4,4*,4.00,4,100.0,-,-,1,1,0
JR Hazlewood (AUS),2023-2023,11,5,3,4,2,2.00,5,80.0,-,-,1,0,0
Fazalhaq Farooqi (AFG),2023-2023,6,3,2,2,2*,2.00,9,22.22,-,-,1,0,0
AT Carey (AUS),2023-2023,1,1,0,-,0,0.00,2,0.0,-,-,1,0,0
Usama Mir (PAK),2023-2023,4,1,0,-,0,0.00,3,0.0,-,-,1,0,0
