Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
DJ Malan (ENG),2023-2023,9,9,0,404,140,44.88,400,101.0,1,2,-,50,9
SA Yadav (IND),2023-2023,7,7,1,106,49,17.66,105,100.95,-,-,-,12,1
Shadab Khan (PAK),2023-2023,6,5,0,121,43,24.20,120,100.83,-,-,-,7,4
MD Shanaka (SL),2023-2023,2,2,0,80,68,40.00,80,100.0,-,1,-,6,3
Shoriful Islam (BAN),2023-2023,8,6,5,28,12,28.00,28,100.0,-,-,-,3,1
Mohammad Wasim (PAK),2023-2023,4,2,1,23,16*,23.00,23,100.0,-,-,-,2,2
MADI Hemantha (SL),2023-2023,2,2,1,4,4*,4.00,4,100.0,-,-,1,1,0
Rahmanullah Gurbaz (AFG),2023-2023,9,9,0,280,80,31.11,283,98.93,-,2,1,31,9
AT Nidamanuru (NED),2023-2023,7,7,1,164,54,27.33,167,98.2,-,1,-,11,10
Saud Shakeel (PAK),2023-2023,9,7,0,241,68,34.42,246,97.96,-,2,-,30,1
Ishan Kishan (IND),2023-2023,2,2,0,47,47,23.50,48,97.91,-,-,1,5,2
Azmatullah Omarzai (AFG),2023-2023,9,8,3,353,97*,70.60,361,97.78,-,3,-,26,13
JC Buttler (ENG),2023-2023,9,9,0,138,43,15.33,142,97.18,-,-,-,11,5
Mohammad Rizwan (PAK),2023-2023,9,8,2,395,131*,65.83,414,95.41,1,1,-,38,5
Tanzid Hasan (BAN),2023-2023,9,9,0,145,51,16.11,152,95.39,-,1,1,22,3
JP Inglis (AUS),2023-2023,10,8,0,159,58,19.87,168,94.64,-,1,1,17,3
Rashid Khan (AFG),2023-2023,9,6,1,105,35*,21.00,111,94.59,-,-,-,7,5
KS Williamson (NZ),2023-2023,4,4,1,256,95,85.33,274,93.43,-,3,-,28,4
Abdullah Shafique (PAK),2023-2023,8,8,0,336,113,42.00,360,93.33,1,3,1,36,9
Shaheen Shah Afridi (PAK),2023-2023,9,6,3,55,25,18.33,60,91.66,-,-,-,7,1
Mahmudullah (BAN),2023-2023,8,7,1,328,111,54.66,358,91.62,1,1,-,28,14
CAK Rajitha (SL),2023-2023,6,4,0,52,33,13.00,57,91.22,-,-,1,6,1
TWM Latham (NZ),2023-2023,10,8,2,155,68,25.83,170,91.17,-,2,1,12,3
KL Rahul (IND),2023-2023,11,10,4,452,102,75.33,498,90.76,1,2,-,38,9
V Kohli (IND),2023-2023,11,11,3,765,117,95.62,847,90.31,3,6,1,68,9
Imam-ul-Haq (PAK),2023-2023,6,6,0,162,70,27.00,180,90.0,-,1,-,23,0
P Nissanka (SL),2023-2023,9,9,1,332,77*,41.50,371,89.48,-,4,2,44,3
BA Stokes (ENG),2023-2023,6,6,0,304,108,50.66,341,89.14,1,2,1,26,11
JM Bairstow (ENG),2023-2023,9,9,0,215,59,23.88,243,88.47,-,2,1,27,3
JE Root (ENG),2023-2023,9,9,0,276,82,30.66,312,88.46,-,3,1,21,2
Ikram Alikhil (AFG),2023-2023,7,3,1,89,58,44.50,101,88.11,-,1,-,7,3
SA Edwards (NED),2023-2023,9,9,2,259,78*,37.00,298,86.91,-,2,2,22,3
MJ Henry (NZ),2023-2023,7,4,2,19,10*,9.50,22,86.36,-,-,1,1,1
KIC Asalanka (SL),2023-2023,9,8,0,288,108,36.00,338,85.2,1,1,-,19,11
HE van der Dussen (SA),2023-2023,10,10,1,448,133,49.77,530,84.52,2,2,-,39,8
CR Woakes (ENG),2023-2023,8,8,1,131,51,18.71,155,84.51,-,1,1,15,2
TA Boult (NZ),2023-2023,10,4,3,21,10*,21.00,25,84.0,-,-,-,1,1
WA Young (NZ),2023-2023,6,6,0,206,70,34.33,246,83.73,-,2,1,23,6
Mohammad Nawaz (PAK),2023-2023,5,4,0,81,39,20.25,97,83.5,-,-,-,5,3
Nasum Ahmed (BAN),2023-2023,3,3,0,40,19,13.33,48,83.33,-,-,-,5,0
Tanzim Hasan Sakib (BAN),2023-2023,1,1,1,5,5*,-,6,83.33,-,-,-,1,0
Babar Azam (PAK),2023-2023,9,9,1,320,74,40.00,386,82.9,-,4,-,32,4
Shakib Al Hasan (BAN),2023-2023,7,7,0,186,82,26.57,226,82.3,-,1,-,21,4
CN Ackermann (NED),2023-2023,9,9,0,216,69,24.00,263,82.12,-,1,1,27,0
Noor Ahmad (AFG),2023-2023,4,1,0,26,26,26.00,32,81.25,-,-,-,4,0
SPD Smith (AUS),2023-2023,10,10,1,302,71,33.55,373,80.96,-,2,1,30,2
A Dutt (NED),2023-2023,9,9,3,70,23*,11.66,87,80.45,-,-,-,1,5
Litton Das (BAN),2023-2023,9,9,0,284,76,31.55,354,80.22,-,2,1,32,5
RE van der Merwe (NED),2023-2023,8,8,0,68,29,8.50,85,80.0,-,-,2,4,3
A Zampa (AUS),2023-2023,11,6,3,48,29,16.00,60,80.0,-,-,1,5,0
JR Hazlewood (AUS),2023-2023,11,5,3,4,2,2.00,5,80.0,-,-,1,0,0
Mehidy Hasan Miraz (BAN),2023-2023,9,9,0,201,57,22.33,253,79.44,-,1,-,21,2
Mushfiqur Rahim (BAN),2023-2023,9,9,1,202,66,25.25,255,79.21,-,2,-,14,4
LV van Beek (NED),2023-2023,8,8,2,140,59,23.33,179,78.21,-,1,1,9,3
Towhid Hridoy (BAN),2023-2023,7,6,1,164,74,32.80,210,78.09,-,1,-,7,5
LH Ferguson (NZ),2023-2023,7,3,1,7,6,3.50,9,77.77,-,-,-,0,1
Najmul Hossain Shanto (BAN),2023-2023,9,9,1,222,90,27.75,289,76.81,-,2,2,25,1
Rahmat Shah (AFG),2023-2023,9,9,1,320,77*,40.00,419,76.37,-,3,-,28,2
Ibrahim Zadran (AFG),2023-2023,9,9,1,376,129*,47.00,493,76.26,1,1,-,39,5
TG Southee (NZ),2023-2023,4,2,0,16,9,8.00,21,76.19,-,-,-,2,0
DM de Silva (SL),2023-2023,8,7,0,140,34,20.00,184,76.08,-,-,-,13,4
